,Manufacturer,Classification,Designation,Primary Data,,,Refractive Indices,,,,,Dispersions,,,,,,Coefficients of Dispersion Formulae,,,,,,,Relative Internal Transmittance (at 10mm Thickness),,,,,,,,,,,Remarks,,,
,manufacturer,classification,glass,nd,vd,ve,nC,nd,ne,nF,ng,nF-nC,nd-nC,ng-nF,"?d,C","?g,F","??g,F",Formula,a1,a2,a3,a4,a5,a6,?0.80,?0.05,800nm,700nm,600nm,550nm,500nm,460nm,400nm,380nm,Std. Deviation,Precision Molding, i-line Capable,High Homogeneity,Other Comments
809,CDGM,Titanate,ZF51,1.7847,26.08,25.87,1.7761,1.7847,1.7918,1.8061,1.8244,0.030092,0.00865,0.01825,0.2875,0.6065,0.0052,"Schott, n=2 m=4",3.061870760E+00,-1.39E-02,3.298522200E-02,5.071415780E-03,-5.39E-04,4.360892450E-05,420,360,99.70%,99.60%,99.40%,99.30%,98.70%,97.20%,82.90%,58.00%,14.81%,Not Specified,Not Specified,Not Specified,
60,Ohara,Titanate,S-TIH23,1.7847,26.3,26.1,1.7761,1.7847,1.7917,1.806,1.8243,0.02984,0.008571,0.018312,0.2872,0.6135,0.0146,"Sellmeier, n=3",1.739864850E+00,3.138949180E-01,2.310932060E+00,1.294413000E-02,6.121168680E-02,1.974204820E+02,400,368,99.80%,99.20%,99.20%,99.20%,97.90%,96.20%,80.00%,44.00%,19.51%,Not Specified,Not Specified,Available,
832,CDGM,Lanthanide,H-LaF7,1.7818,37.09,36.83,1.7756,1.7818,1.7868,1.7967,1.8089,0.021077,0.0062,0.01224,0.294,0.5806,-0.0019,"Schott, n=2 m=4",3.079869300E+00,-1.21E-02,3.133718880E-02,9.858368780E-04,-1.34E-05,5.499076200E-06,410,350,99.80%,99.60%,99.50%,99.50%,99.10%,98.30%,91.40%,77.40%,7.86%,Not Specified,Not Specified,Not Specified,
136,Ohara,Niobophosphate,S-NPH 7,1.7783,23.9,23.7,1.769,1.7783,1.786,1.8016,1.8219,0.03255,0.009276,0.020338,0.285,0.6248,0.022,"Sellmeier, n=3",1.682365540E+00,3.396496440E-01,2.250492080E+00,1.314316820E-02,6.450400120E-02,1.813863000E+02,395,365,99.80%,99.70%,99.70%,99.60%,99.00%,98.00%,87.00%,45.00%,19.08%,Not Specified,Not Specified,Available,
897,CDGM,Lanthanide,D-LaF50,1.774,49.59,49.32,1.7693,1.774,1.7777,1.7849,1.7936,0.015608,0.00469,0.008659,0.3005,0.5548,-0.0065,"Sellmeier, n=3",1.344738730E+00,6.036194000E-03,1.132882040E+00,9.552131850E+01,7.310489140E-01,2.270619800E-02,380,310,99.80%,99.70%,99.60%,99.60%,99.60%,99.30%,97.90%,95.50%,1.49%,Suitable,Not Specified,Not Specified,
644,Hikari,Lanthanide,Q-LASFH11S,1.7739,47.25,47.01,1.7689,1.7739,1.7778,1.7853,1.7944,0.016377,0.004921,0.009101,0.3005,0.5557,-0.0094,"Sellmeier, n=3",1.198838940E-01,7.823258240E+01,5.955267530E-02,2.283758190E-02,3.490423540E-01,4.693090320E-03,339,273,99.70%,99.80%,99.90%,99.90%,99.80%,99.60%,98.70%,97.20%,0.94%,Suitable,Not Specified,Not Specified,
341,Hoya,Lanthanide,M-TAF401,1.7738,47.17,46.92,1.7688,1.7738,1.7777,1.7852,1.7944,0.0164,0.00493,0.00912,0.3004,0.556098,-0.0078,"Schott, n=2 m=4",3.072790000E+00,-1.85E-01,3.420390867E-01,1.121250445E-01,-7.73E-03,3.824714609E-03,360,321,99.20%,99.70%,99.50%,99.60%,99.40%,98.90%,96.60%,92.80%,2.41%,Suitable,Not Specified,Not Specified,
360,Hoya,Lanthanide,MP-LAF81,1.7308,40.5,40.25,1.7254,1.7308,1.7351,1.7435,1.7538,0.01804,0.0054,0.0103,0.2969,0.571508,-0.004,"Schott, n=2 m=4",2.916788600E+00,-1.68E-01,3.610100755E-01,1.194005730E-01,1.163927210E-02,6.670455960E-03,395,334,99.90%,99.90%,99.80%,99.70%,99.30%,98.00%,91.40%,82.60%,6.25%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
364,Hoya,Lanthanide,M-TAF1,1.7725,49.46,49.2,1.7678,1.7725,1.7762,1.7834,1.7921,0.01561,0.00469,0.00866,0.3007,0.554773,-0.0054,"Schott, n=2 m=4",3.070806000E+00,-1.66E-01,3.324600554E-01,8.688325149E-02,4.953904556E-03,6.016292731E-03,347,280,99.80%,99.80%,99.70%,99.80%,99.70%,99.40%,98.50%,96.60%,1.13%,Suitable,Not Specified,Not Specified,
316,Hoya,Lanthanide,MP-TAC80-60,1.7296,54.07,53.84,1.7255,1.7296,1.7329,1.739,1.7464,0.01349,0.0041,0.0073,0.3036,0.544848,-0.0067,"Schott, n=2 m=4",2.937212800E+00,-2.19E-01,2.489511482E-01,5.111175787E-02,-6.22E-02,1.251998812E-02,352,285,99.80%,99.90%,99.90%,99.90%,99.90%,99.50%,97.90%,95.00%,1.75%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
338,Hoya,Lanthanide,M-TAF105,1.7725,49.5,49.26,1.7678,1.7725,1.7762,1.7834,1.792,0.01561,0.00471,0.00861,0.3018,0.55157,-0.0073,"Schott, n=2 m=4",3.070563800E+00,-1.80E-01,3.421324004E-01,3.998163672E-02,2.193558388E-02,-7.41E-03,349,283,99.90%,99.80%,99.80%,99.80%,99.60%,99.20%,97.60%,95.10%,1.70%,Suitable,Not Specified,Not Specified,
610,Hikari,Lanthanide,J-LASF016,1.7725,49.62,49.38,1.7678,1.7725,1.7762,1.7834,1.792,0.015569,0.004699,0.008591,0.3018,0.5518,-0.0093,"Sellmeier, n=3",1.203654890E-01,7.254211800E+01,5.802161370E-02,2.181354900E-02,3.505331010E-01,4.518923480E-03,348,306,99.30%,99.50%,99.60%,99.70%,99.60%,99.50%,98.20%,95.80%,1.34%,Not Specified,Not Specified,Not Specified,
236,Hoya,Lanthanide,TaF1,1.7725,49.63,49.39,1.7678,1.7725,1.7762,1.7834,1.7919,0.01556,0.0047,0.00857,0.3021,0.550771,-0.0086,"Schott, n=2 m=4",3.073637800E+00,-1.55E-02,2.362769900E-02,6.630085200E-04,-2.84E-05,2.209079900E-06,346,302,99.60%,99.90%,99.90%,99.90%,99.90%,99.50%,98.30%,96.70%,1.15%,Not Specified,Not Specified,Not Specified,
834,CDGM,Lanthanide,H-LaF50B,1.7725,49.6,49.36,1.7678,1.7725,1.7762,1.7834,1.792,0.015575,0.0047,0.00859,0.3018,0.5515,-0.0097,"Schott, n=2 m=4",3.070318810E+00,-1.36E-02,2.581901790E-02,-1.66E-05,6.949662250E-05,-2.88E-06,375,305,99.40%,99.40%,99.60%,99.60%,99.60%,99.30%,97.30%,94.30%,1.89%,Not Specified,Not Specified,Not Specified,
107,Ohara,Lanthanide,S-LAH66,1.7725,49.6,49.3,1.7678,1.7725,1.7762,1.7834,1.792,0.01557,0.004701,0.008598,0.3018,0.552,-0.0092,"Sellmeier, n=3",1.392805860E+00,6.795770940E-01,1.387020690E+00,6.084751180E-03,2.339253510E-02,9.583540940E+01,349,308,99.80%,99.80%,99.80%,99.90%,99.70%,99.40%,97.90%,95.60%,1.52%,Not Specified,Not Specified,Available,
233,Hoya,Niobate,NbFD29,1.7705,29.74,29.53,1.7629,1.7705,1.7766,1.7888,1.8043,0.02591,0.00754,0.01542,0.291,0.595137,0.0003,"Schott, n=2 m=4",3.023484000E+00,-1.44E-02,3.467330300E-02,2.063743700E-03,-1.11E-04,1.446897300E-05,366,337,99.80%,99.80%,99.70%,99.60%,99.20%,98.50%,95.40%,89.90%,3.49%,Not Specified,Not Specified,Not Specified,
898,CDGM,Lanthanide,D-LaF050,1.7684,49.28,49.04,1.7637,1.7684,1.7721,1.7793,1.7879,0.015592,0.004703,0.008613,0.3016,0.5524,-0.0094,"Sellmeier, n=3",6.532495120E-01,2.364428800E-02,1.205577450E+00,8.553779620E+01,1.404537810E+00,6.364015000E-03,375,285,99.70%,99.70%,99.60%,99.60%,99.30%,98.70%,96.90%,94.20%,1.96%,Suitable,Not Specified,Not Specified,
335,Hoya,Lanthanide,M-TAF101,1.768,49.24,49,1.7633,1.768,1.7717,1.7789,1.7875,0.0156,0.00471,0.0086,0.3017,0.551282,-0.0082,"Schott, n=2 m=4",3.056150000E+00,-1.87E-01,3.290171258E-01,9.121237619E-02,-1.81E-02,3.074668987E-03,348,283,99.80%,99.80%,99.70%,99.90%,99.90%,99.30%,97.90%,95.50%,1.56%,Suitable,Not Specified,Not Specified,
614,Hikari,Lanthanide,J-LASFH2,1.7668,46.78,46.53,1.7619,1.7668,1.7707,1.7783,1.7874,0.016393,0.004926,0.009141,0.3005,0.5576,-0.0083,"Sellmeier, n=3",1.197074340E-01,7.014447870E+01,2.240702810E-02,3.525234930E-02,3.834489650E-01,5.708869290E-03,367,334,98.90%,99.20%,99.30%,99.50%,99.30%,98.80%,95.80%,90.00%,3.30%,Not Specified,Not Specified,Not Specified,
648,Hikari,Lanthanide,Q-LASFPH2S,1.7654,46.75,46.51,1.7605,1.7654,1.7693,1.7769,1.786,0.016373,0.004918,0.009111,0.3004,0.5565,-0.0095,"Sellmeier, n=3",1.076059670E-01,6.968510020E+01,3.658257170E-02,2.775525140E-02,3.685666430E-01,5.421792250E-03,348,282,99.80%,99.80%,99.80%,99.80%,99.70%,99.50%,98.20%,96.00%,1.36%,Suitable,Not Specified,Not Specified,
153,Ohara,Lanthanide,L-LAH91,1.7645,49.09,48.85,1.7598,1.7645,1.7682,1.7754,1.784,0.015572,0.004692,0.008608,0.3013,0.5528,-0.0092,"Sellmeier, n=3",1.261441280E+00,7.821152730E-01,1.158236450E+00,5.725125820E-03,2.198297520E-02,8.804822000E+01,333,274,99.90%,99.90%,99.90%,99.90%,99.80%,99.60%,98.60%,97.30%,0.94%,Suitable,Not Specified,Available,
115,Ohara,Lanthanide,S-LAH96,1.7639,48.5,48.2,1.7591,1.7639,1.7676,1.7749,1.7837,0.01575,0.004721,0.008805,0.2997,0.5589,-0.0041,"Sellmeier, n=3",1.850785190E+00,1.892048540E-01,1.197631370E+00,9.406575410E-03,3.803451870E-02,1.014268350E+02,378,342,99.70%,99.60%,99.60%,99.60%,99.40%,98.80%,94.10%,83.00%,5.86%,Not Specified,Not Specified,Available,
85,Ohara,Lanthanide,S-LAM55,1.762,40.1,39.8,1.7564,1.762,1.7665,1.7754,1.7863,0.019,0.005616,0.010955,0.2955,0.5765,-0.0001,"Sellmeier, n=3",1.854129790E+00,1.654503230E-01,1.272554220E+00,1.084381520E-02,5.140509800E-02,1.099868370E+02,378,350,99.90%,99.70%,99.70%,99.70%,99.30%,98.40%,93.20%,82.00%,6.27%,Not Specified,Not Specified,Available,
591,Hikari,Lanthanide,J-LAF05,1.762,40.11,39.85,1.7564,1.762,1.7665,1.7754,1.7863,0.018996,0.005619,0.010874,0.2958,0.5724,-0.0046,"Sellmeier, n=3",1.120206930E-01,9.192064830E+01,2.913431820E-02,3.834294960E-02,3.730591300E-01,6.259153950E-03,365,332,98.90%,99.20%,99.40%,99.30%,99.10%,98.50%,95.80%,90.70%,3.03%,Not Specified,Not Specified,Not Specified,
839,CDGM,Lanthanide,H-LaF55,1.762,40.11,39.82,1.7564,1.762,1.7665,1.7754,1.7863,0.019,0.00561,0.0109,0.2952,0.5734,-0.004,"Schott, n=2 m=4",3.018458550E+00,-1.05E-02,2.886401750E-02,6.970865240E-04,6.357414670E-06,2.824442890E-06,385,340,99.60%,99.60%,99.50%,99.50%,99.20%,98.80%,95.40%,87.60%,4.20%,Not Specified,Not Specified,Not Specified,
58,Ohara,Titanate,S-TIH14,1.7618,26.5,26.3,1.7536,1.7618,1.7686,1.7823,1.7999,0.02873,0.008254,0.017627,0.2873,0.6136,0.015,"Sellmeier, n=3",1.689151080E+00,2.904620240E-01,2.379715160E+00,1.282025140E-02,6.180908410E-02,2.010943520E+02,397,368,99.70%,99.30%,99.30%,99.30%,98.30%,97.10%,84.00%,43.00%,19.70%,Not Specified,Not Specified,Available,
558,Hikari,Titanate,J-SF14,1.7618,26.58,26.37,1.7536,1.7618,1.7686,1.7822,1.7998,0.028657,0.00824,0.017559,0.2875,0.6127,0.013,"Sellmeier, n=3",1.053447660E-01,7.482659700E+01,2.438590170E-02,6.242178370E-02,3.731516730E-01,8.830288050E-03,398,369,98.90%,99.20%,99.20%,99.00%,98.20%,97.10%,82.00%,39.00%,21.06%,Not Specified,Not Specified,Not Specified,
202,Hoya,Titanate,FD140,1.7618,26.61,26.4,1.7536,1.7618,1.7686,1.7822,1.7998,0.02863,0.00823,0.01753,0.2874,0.612295,0.0119,"Schott, n=2 m=4",2.985129400E+00,-1.42E-02,3.549643700E-02,2.845755700E-03,-1.90E-04,2.430925200E-05,399,368,99.50%,99.20%,99.40%,99.30%,98.20%,96.60%,81.20%,39.20%,21.08%,Not Specified,Not Specified,Not Specified,
801,CDGM,Titanate,H-ZF12,1.7618,26.61,26.39,1.7536,1.7618,1.7686,1.7822,1.7997,0.028631,0.00823,0.01753,0.2873,0.6123,0.0119,"Schott, n=2 m=4",2.988336160E+00,-1.56E-02,3.255857370E-02,4.076344440E-03,-4.24E-04,4.044222090E-05,415,365,99.70%,99.50%,99.30%,99.10%,98.40%,97.30%,82.30%,39.00%,21.16%,Not Specified,Not Specified,Not Specified,
802,CDGM,Titanate,ZF12,1.7618,26.55,26.34,1.7536,1.7618,1.7686,1.7823,1.7997,0.028692,0.00825,0.01742,0.2875,0.6071,0.0066,"Schott, n=2 m=4",2.995069910E+00,-1.66E-02,2.567014290E-02,6.704451280E-03,-8.37E-04,6.264027740E-05,430,380,99.70%,99.70%,99.60%,99.50%,98.90%,97.40%,71.00%,14.00%,30.33%,Not Specified,Not Specified,Not Specified,
590,Hikari,Lanthanide,J-LAF04,1.757,47.86,47.62,1.7522,1.757,1.7608,1.7681,1.7768,0.015816,0.004761,0.008788,0.301,0.5556,-0.0084,"Sellmeier, n=3",1.159215770E-01,6.781561110E+01,2.438022010E-02,3.304549300E-02,3.777271440E-01,5.550469770E-03,368,332,98.90%,99.20%,99.40%,99.50%,99.20%,98.50%,95.30%,89.00%,3.65%,Not Specified,Not Specified,Not Specified,
831,CDGM,Lanthanide,H-LaF6LA,1.757,47.71,47.47,1.7522,1.757,1.7608,1.7681,1.7769,0.015866,0.00477,0.0088,0.3006,0.5546,-0.0098,"Schott, n=2 m=4",3.019702410E+00,-1.58E-02,2.276540520E-02,9.795231250E-04,-6.87E-05,4.743272690E-06,390,320,99.80%,99.70%,99.70%,99.70%,99.40%,98.90%,95.80%,90.60%,3.26%,Not Specified,Not Specified,Not Specified,
84,Ohara,Lanthanide,S-LAM54,1.757,47.8,47.6,1.7522,1.757,1.7608,1.7681,1.7769,0.01583,0.004764,0.00881,0.3009,0.5565,-0.0076,"Sellmeier, n=3",1.842133060E+00,1.754686310E-01,1.257508780E+00,9.439932200E-03,3.952811220E-02,8.654630130E+01,369,340,99.90%,99.70%,99.70%,99.70%,99.50%,99.00%,96.30%,90.90%,3.13%,Not Specified,Not Specified,Available,
567,Hikari,Niobophosphate,J-SFH5,1.7558,24.71,24.49,1.747,1.7558,1.7629,1.7776,1.7969,0.030585,0.008702,0.019241,0.2845,0.6291,0.0262,"Sellmeier, n=3",9.756732400E-02,6.247771530E+01,2.291304040E-02,7.029671860E-02,3.714698280E-01,9.101371670E-03,404,377,99.50%,99.30%,98.80%,98.30%,97.10%,95.70%,74.00%,12.00%,30.45%,Not Specified,Not Specified,Not Specified,
189,Hoya,Titanate,E-FD4L,1.7552,27.53,27.31,1.7473,1.7552,1.7617,1.7747,1.7914,0.02743,0.00791,0.01671,0.2882,0.609187,0.0103,"Schott, n=2 m=4",2.967317300E+00,-1.40E-02,3.345668000E-02,3.071780400E-03,-2.67E-04,2.895024100E-05,392,364,99.80%,99.30%,99.50%,99.60%,98.70%,97.40%,87.60%,55.10%,15.51%,Not Specified,Not Specified,Available,
190,Hoya,Titanate,E-FD4,1.7552,27.53,27.31,1.7473,1.7552,1.7617,1.7747,1.7914,0.02743,0.00791,0.01671,0.2882,0.609187,0.0103,"Schott, n=2 m=4",2.967317300E+00,-1.40E-02,3.345668000E-02,3.071780400E-03,-2.67E-04,2.895024100E-05,392,364,99.80%,99.30%,99.50%,99.60%,98.70%,97.40%,87.60%,55.10%,15.51%,Not Specified,Not Specified,Not Specified,
549,Hikari,Titanate,J-SF4,1.7552,27.57,27.35,1.7473,1.7552,1.7617,1.7747,1.7914,0.027391,0.007895,0.016688,0.2882,0.6093,0.0112,"Sellmeier, n=3",1.103391350E-01,8.003003700E+01,2.341041290E-02,6.147977880E-02,3.719569700E-01,8.660991240E-03,398,367,99.10%,99.20%,99.10%,99.10%,98.10%,96.70%,82.00%,45.00%,19.02%,Not Specified,Not Specified,Not Specified,
356,Hoya,Lanthanide,MP-LAC8-30,1.7133,53.95,53.72,1.7093,1.7133,1.7165,1.7225,1.7297,0.01322,0.004,0.0072,0.3035,0.544629,-0.0064,"Schott, n=2 m=4",2.882749800E+00,-2.13E-01,2.396513948E-01,5.219310313E-02,-6.63E-02,1.359067223E-02,352,288,99.90%,99.80%,99.70%,99.80%,99.70%,99.30%,97.70%,95.20%,1.66%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
789,CDGM,Titanate,H-ZF6,1.7552,27.53,27.31,1.7473,1.7552,1.7617,1.7747,1.7914,0.027432,0.00791,0.01667,0.2882,0.6077,0.0089,"Schott, n=2 m=4",2.963206700E+00,-1.21E-02,3.643658080E-02,2.125799270E-03,-1.30E-04,2.141410610E-05,410,365,99.70%,99.60%,99.30%,99.30%,98.50%,97.60%,88.30%,57.40%,14.67%,Not Specified,Not Specified,Not Specified,
790,CDGM,Titanate,ZF6,1.7552,27.53,27.32,1.7473,1.7552,1.7617,1.7747,1.7912,0.027432,0.00791,0.01648,0.2884,0.6008,0.002,"Schott, n=2 m=4",2.962859950E+00,-1.04E-02,3.564412380E-02,2.456992050E-03,-1.50E-04,1.778277510E-05,405,350,99.80%,99.80%,99.80%,99.80%,99.60%,99.30%,92.00%,78.00%,7.76%,Not Specified,Not Specified,Not Specified,
53,Ohara,Titanate,S-TIH 4,1.7552,27.5,27.3,1.7473,1.7552,1.7617,1.7747,1.7915,0.02745,0.007904,0.016752,0.2879,0.6103,0.0133,"Sellmeier, n=3",1.667555310E+00,2.944118650E-01,2.494221190E+00,1.220521370E-02,5.977753290E-02,2.148696180E+02,398,368,99.90%,99.40%,99.40%,99.50%,98.60%,97.30%,82.00%,45.00%,19.20%,Not Specified,Not Specified,Available,
313,Hoya,Lanthanide,M-TAC60,1.755,51.16,50.92,1.7506,1.755,1.7585,1.7653,1.7734,0.01476,0.00446,0.0081,0.3024,0.54878,-0.0078,"Schott, n=2 m=4",3.017866000E+00,-2.14E-01,2.861624234E-01,1.705870784E-01,-4.67E-02,9.983471842E-03,355,288,99.90%,99.90%,99.90%,99.90%,99.90%,99.50%,97.50%,94.30%,2.02%,Suitable,Not Specified,Not Specified,
116,Ohara,Lanthanide,S-LAH97,1.755,52.3,52.1,1.7506,1.755,1.7584,1.7651,1.773,0.01443,0.004373,0.0079,0.303,0.5474,-0.0094,"Sellmeier, n=3",1.027301800E+00,9.892935640E-01,1.257810570E+00,1.834061290E-02,3.712641950E-03,8.785105000E+01,328,272,99.90%,99.90%,99.90%,99.90%,99.90%,99.70%,99.00%,98.00%,0.69%,Not Specified,Not Specified,Available,
273,Hoya,Lanthanide,TaC6,1.755,52.32,52.09,1.7506,1.755,1.7584,1.7651,1.773,0.01443,0.00437,0.0079,0.303,0.547471,-0.0069,"Schott, n=2 m=4",3.018218400E+00,-1.54E-02,2.152013700E-02,6.460830300E-04,-3.24E-05,2.079159300E-06,342,276,99.90%,99.90%,99.80%,99.90%,99.70%,99.30%,98.10%,95.80%,1.45%,Not Specified,Not Specified,Not Specified,
584,Hikari,Lanthanide,J-LASKH2,1.755,52.34,52.1,1.7506,1.755,1.7584,1.7651,1.773,0.014426,0.004372,0.007899,0.3031,0.5476,-0.009,"Sellmeier, n=3",1.098337740E-01,6.560373260E+01,4.703375920E-02,2.116533740E-02,3.549372070E-01,4.786149530E-03,347,285,98.80%,99.20%,99.30%,99.40%,99.30%,99.10%,97.70%,95.30%,1.41%,Not Specified,Not Specified,Not Specified,
722,CDGM,Lanthanide,H-LaK53B,1.755,52.32,52.09,1.7506,1.755,1.7584,1.7651,1.773,0.01443,0.00438,0.0079,0.3035,0.5475,-0.0091,"Schott, n=2 m=4",3.016236090E+00,-1.45E-02,2.290953940E-02,2.169676990E-04,2.730480390E-05,-9.81E-07,370,275,99.80%,99.80%,99.80%,99.70%,99.70%,99.30%,97.20%,94.60%,1.89%,Not Specified,Not Specified,Not Specified,
723,CDGM,Lanthanide,H-LaK53A,1.755,52.32,52.09,1.7506,1.755,1.7584,1.7651,1.773,0.01443,0.00437,0.00791,0.303,0.5478,-0.0088,"Schott, n=2 m=4",3.014604630E+00,-1.37E-02,2.410316580E-02,-1.68E-04,8.272215050E-05,-3.78E-06,370,280,99.70%,99.70%,99.50%,99.50%,99.30%,98.70%,96.20%,91.90%,2.75%,Not Specified,Not Specified,Not Specified,
830,CDGM,Lanthanide,H-LaFL5,1.7537,37.49,37.21,1.7477,1.7537,1.7584,1.7679,1.7795,0.020102,0.00593,0.01167,0.295,0.5805,-0.0013,"Schott, n=2 m=4",2.984529590E+00,-1.13E-02,3.097751510E-02,4.318291460E-04,4.823830230E-05,2.946122790E-06,410,350,99.80%,99.70%,99.50%,99.30%,98.20%,96.60%,89.40%,77.00%,8.04%,Not Specified,Not Specified,Not Specified,
219,Hoya,Titanate,FF8,1.7521,25.05,24.84,1.7435,1.7521,1.7592,1.7736,1.7921,0.03003,0.00859,0.01859,0.286,0.619048,0.016,"Schott, n=2 m=4",2.956436100E+00,-1.98E-02,2.987882300E-02,5.183085200E-03,-5.42E-04,4.846324500E-05,394,361,99.70%,99.90%,99.90%,99.60%,98.70%,97.50%,84.60%,56.60%,15.24%,Not Specified,Not Specified,Not Specified,Consult manufacturer for available forms of supply.
123,Ohara,Niobate,S-NBH51,1.7495,35.3,35.1,1.7433,1.7495,1.7545,1.7645,1.7768,0.02121,0.006246,0.012342,0.2944,0.5818,-0.0025,"Sellmeier, n=3",1.712036890E+00,2.559895880E-01,1.814569980E+00,1.077241340E-02,4.885935040E-02,1.363590130E+02,370,331,99.90%,99.70%,99.70%,99.70%,99.10%,98.20%,94.30%,87.00%,4.52%,Not Specified,Not Specified,Available,
281,Hoya,Lanthanide,E-LaF7,1.7495,35.04,34.77,1.7433,1.7495,1.7546,1.7646,1.7773,0.02139,0.00625,0.01263,0.2924,0.590463,0.0054,"Schott, n=2 m=4",2.970417800E+00,-1.33E-02,2.835900600E-02,1.766178600E-03,-1.25E-04,1.395193700E-05,397,361,99.90%,99.50%,99.30%,99.40%,98.40%,97.50%,83.10%,51.30%,17.01%,Not Specified,Not Specified,Not Specified,
587,Hikari,Lanthanide,J-LAF7,1.7495,35.25,34.99,1.7433,1.7495,1.7545,1.7645,1.777,0.021264,0.006229,0.012505,0.2929,0.5881,0.0029,"Sellmeier, n=3",1.052223000E-01,7.338076520E+01,1.949958850E-02,5.422887870E-02,3.765853530E-01,7.164743380E-03,393,358,98.70%,99.10%,99.10%,99.10%,98.60%,97.30%,86.00%,62.00%,13.10%,Not Specified,Not Specified,Not Specified,
312,Hoya,Lanthanide,MP-LAC14-80,1.6976,55.51,55.29,1.6938,1.6976,1.7006,1.7063,1.7132,0.01257,0.0038,0.0068,0.3047,0.541766,-0.006,"Schott, n=2 m=4",2.830673300E+00,-2.01E-01,2.450038511E-01,9.806187749E-02,-2.15E-02,5.042025589E-03,349,285,99.90%,99.90%,99.90%,99.90%,99.80%,99.40%,97.80%,95.60%,1.56%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
828,CDGM,Lanthanide,H-LaF4,1.7495,34.99,34.78,1.7432,1.7495,1.7546,1.7646,1.7772,0.021421,0.00631,0.01256,0.2946,0.5863,0.0003,"Schott, n=2 m=4",2.956120470E+00,-5.58E-03,3.725823620E-02,-7.19E-04,1.999986340E-04,-2.80E-06,405,355,99.80%,99.70%,99.60%,99.40%,98.80%,97.50%,90.00%,72.50%,9.54%,Not Specified,Not Specified,Not Specified,
83,Ohara,Lanthanide,S-LAM 7,1.7495,35.3,35,1.7433,1.7495,1.7545,1.7645,1.777,0.02124,0.006222,0.012468,0.2929,0.5869,0.0025,"Sellmeier, n=3",1.710147120E+00,2.569432920E-01,1.639862710E+00,1.051610800E-02,5.028096360E-02,1.461812170E+02,396,359,99.90%,99.70%,99.70%,99.60%,98.90%,97.70%,84.00%,59.00%,14.50%,Not Specified,Not Specified,Available,
709,CDGM,Lanthanide,H-LaK3,1.7469,50.95,50.72,1.7425,1.7469,1.7504,1.7572,1.7652,0.01466,0.00443,0.00802,0.3023,0.5471,-0.0119,"Schott, n=2 m=4",2.983653740E+00,-1.23E-02,2.558489480E-02,-5.71E-04,1.476480230E-04,-7.55E-06,380,320,99.70%,99.50%,99.50%,99.40%,98.80%,97.70%,95.40%,92.00%,2.73%,Not Specified,Not Specified,Not Specified,
585,Hikari,Lanthanide,J-LAF2,1.744,44.81,44.54,1.739,1.744,1.7479,1.7556,1.765,0.016605,0.004958,0.009359,0.2986,0.5636,-0.0056,"Sellmeier, n=3",1.036435200E-01,7.227928060E+01,1.605180640E-02,4.209121670E-02,3.800535660E-01,6.336814380E-03,372,341,98.90%,99.50%,99.70%,99.80%,99.60%,99.00%,95.20%,87.00%,4.44%,Not Specified,Not Specified,Not Specified,
222,Hoya,Lanthanide,LaF2,1.744,44.9,44.63,1.7391,1.744,1.7479,1.7556,1.765,0.01657,0.00494,0.00933,0.2982,0.563066,-0.0044,"Schott, n=2 m=4",2.965737400E+00,-9.66E-03,2.602452500E-02,3.668464100E-04,2.820555100E-05,-1.37E-07,360,320,99.90%,99.70%,99.70%,99.90%,99.60%,99.00%,97.70%,94.00%,2.03%,Not Specified,Not Specified,Not Specified,
827,CDGM,Lanthanide,H-LaF3B,1.744,44.9,44.63,1.7391,1.744,1.7479,1.7556,1.765,0.01657,0.00494,0.00939,0.2981,0.5667,-0.0025,"Schott, n=2 m=4",2.961080420E+00,-7.46E-03,2.939752400E-02,-7.10E-04,1.796474060E-04,-7.43E-06,380,335,99.60%,99.70%,99.80%,99.90%,99.70%,99.50%,97.30%,92.30%,2.64%,Not Specified,Not Specified,Not Specified,
81,Ohara,Lanthanide,S-LAM 2,1.744,44.8,44.5,1.739,1.744,1.7479,1.7557,1.7651,0.01661,0.004949,0.009394,0.2979,0.5655,-0.0035,"Sellmeier, n=3",1.771300000E+00,1.958142300E-01,1.194878340E+00,9.766524440E-03,4.127186280E-02,1.104581220E+02,372,340,99.90%,99.70%,99.70%,99.70%,99.50%,98.70%,95.00%,87.00%,4.51%,Not Specified,Not Specified,Available,
224,Hoya,Niobate,NbF1,1.7433,49.22,48.99,1.7387,1.7433,1.7469,1.7538,1.7621,0.0151,0.00456,0.0083,0.3018,0.549669,-0.0103,"Schott, n=2 m=4",2.975349100E+00,-1.46E-02,2.109638300E-02,1.198038000E-03,-1.19E-04,7.344435000E-06,345,298,99.80%,99.90%,99.90%,99.90%,99.90%,99.70%,98.40%,96.40%,1.26%,Not Specified,Not Specified,Not Specified,
361,Hoya,Niobate,M-NBF1,1.7433,49.33,49.07,1.7388,1.7433,1.7469,1.7538,1.7622,0.01507,0.00454,0.00833,0.301,0.552754,-0.0068,"Schott, n=2 m=4",2.975245000E+00,-1.93E-01,2.896275209E-01,1.786752297E-01,-4.70E-02,1.019987682E-02,345,282,99.90%,99.90%,99.80%,99.80%,99.70%,99.30%,98.10%,96.10%,1.34%,Suitable,Not Specified,Not Specified,
